gene_name,entrez_id
CG43739,14462810
CG13157,36355
CG32432,40310
CG10359,38434
CG9449,40117
olf186-F,37040
CG2061,32042
Zasp52,36740
Tom,39130
Rh7,39389
CG4615,31656
CG6175,39271
Piezo,34112
Tpc1,41316
Naa30B,317976
Rala,31332
CG13893,38074
zld,32994
RpL10Ab,39338
Rab3-GEF,32442
lab,40817
Gbs-76A,40102
GstZ2,41133
Glut1,38109
l(3)neo38,41423
Sema1a,34192
CG18812,59173
hdc,43604
AMPdeam,32352
CG43897,39153
CG18265,39947
CG9518,32416
Nc73EF,39899
RhoGAP100F,43758
CG16799,37340
mamo,32353
chinmo,33343
Ih,36589
Eip93F,44936
fbl,46234
CG46280,26067077
